ORDER,LANG,LOOP_ORDER,TIME
1000,C,ij,3.671053e-312
1000,C,ji,3.671053e-312
 1000,FORTRAN,ji,3.1970E-03
 1000,FORTRAN,ij,5.1640E-03
2000,C,ij,6.323547e-312
2000,C,ji,6.323547e-312
 2000,FORTRAN,ji,1.0398E-02
 2000,FORTRAN,ij,2.7879E-02
3000,C,ij,8.976042e-312
3000,C,ji,8.976042e-312
 3000,FORTRAN,ji,2.9100E-02
 3000,FORTRAN,ij,7.5680E-02
4000,C,ij,1.162854e-311
4000,C,ji,1.162854e-311
 4000,FORTRAN,ji,5.4200E-02
 4000,FORTRAN,ij,1.5493E-01
5000,C,ij,1.428103e-311
5000,C,ji,1.428103e-311
 5000,FORTRAN,ji,8.5178E-02
 5000,FORTRAN,ij,2.1770E-01
6000,C,ij,1.693353e-311
6000,C,ji,1.693353e-311
 6000,FORTRAN,ji,1.0881E-01
 6000,FORTRAN,ij,3.6566E-01
7000,C,ij,1.958602e-311
7000,C,ji,1.958602e-311
 7000,FORTRAN,ji,2.7790E-01
 7000,FORTRAN,ij,4.9763E-01
8000,C,ij,2.223852e-311
8000,C,ji,2.223852e-311
 8000,FORTRAN,ji,1.8740E-01
 8000,FORTRAN,ij,1.7354E+00
9000,C,ij,2.489101e-311
9000,C,ji,2.489101e-311
 9000,FORTRAN,ji,2.6347E-01
 9000,FORTRAN,ij,8.8836E-01
10000,C,ij,2.754351e-311
10000,C,ji,2.754351e-311
 10000,FORTRAN,ji,3.2434E-01
 10000,FORTRAN,ij,1.3031E+00
10000,C,ij,2.754351e-311
10000,C,ji,2.754351e-311
 10000,FORTRAN,ji,3.2039E-01
 10000,FORTRAN,ij,1.3331E+00
11000,C,ij,3.019600e-311
11000,C,ji,3.019600e-311
 11000,FORTRAN,ji,3.7561E-01
 11000,FORTRAN,ij,1.9510E+00
12000,C,ij,3.284849e-311
12000,C,ji,3.284849e-311
 12000,FORTRAN,ji,3.8425E-01
 12000,FORTRAN,ij,2.7352E+00
14000,C,ij,3.815348e-311
14000,C,ji,3.815348e-311
16000,C,ij,4.345847e-311
16000,C,ji,4.345847e-311
 16000,FORTRAN,ji,7.4821E-01
 16000,FORTRAN,ij,7.2955E+00
20000,C,ij,5.406845e-311
20000,C,ji,5.406845e-311
 20000,FORTRAN,ji,1.1978E+00
 20000,FORTRAN,ij,1.7207E+01
